تصدیق حقوق دسترسی	ردیف	شرح ویژگی	درصد اجرا	مرتبه اجرا	توضیحات 
	1	"برنامه کاربردي بايد قبل از فراخواني فرايندها توسط کاربران و يا دسترسي به منابع سامانه ، حقوق دسترسي آنها را بررسي کند و مشخص کند آيا اجازه فراخواني توابع و يا دسترسي به منبع مربوطه توسط کاربر وجود دارد يا خير؟"			
	2	"برنامه‌ي كاربردي بايد رابط‌هاي كاربري لازم را براي ايجاد, و مديريت فهرست کنترل دسترسي ها و ساير اطلاعات حقوق دسترسي تا پایین ترین سطح (خواندن، نوشتن، ویرایش، تایید، حذف ، فایل های پیوستی و ...) برای هر فعالیت فراهم آورده باشد."			
	3	حقوق دسترسي اعطا شده به برنامه‌ي كاربردي در هر زمان بايد كمترين حق ‌دسترسي مورد نياز براي انجام فعاليت‌هاي لازم باشد.			
	4	"سامانه بازه های زمانی دسترسی کاربران به سامانه را مدیریت نماید . (با استفاده از واسط مديريتي زمان (برحسب بازه هاي زماني سال، ماه، هفته، روز و ساعت) دسترسي كاربران /كاربر به سامانه قابل تنظيم باشد.)"			
	5	"برنامه کاربردی بتواند مدیریت Ipکاربران را انجام دهد و با استفاده از واسط مدیریتی قابل تنظیم باشد بصورتی که مدیر بتواند یکی از تنظیمات زیر را برای کاربر تعریف نماید:
1-کاربر برای بار اول که  لاگین می کند IP تنظیم شود و برای مراجعات بعدی فقط از این IP بتواند لاگین کند
2-کاربر از یک رنج IP بتواند لاگین کند
3-کاربر با رنج های مختلف بتواند لاگین کند.
توجه: سرويس عمومي براساس مديريت IP سامانه صورت گيرد .سرويس هاي مديريتي علاوه بر سامانه توسط سایر سازوکارهای شبکه نظیر فایروال  انجام شود."			
	6	حقوق دسترسي در برنامه‌ي كاربردي بايد به‌صورت نقش‌گرا پياده‌سازي شود.			
	7	كاربر انجام وظايف خود را تنها با نگاشت يك نقش بتواند انجام دهد.			
	8	"برنامه‌ي كاربردي بايد بتواند برچسب‌هاي محرمانگي و جامعيت مناسب را روي داده اعمال كند و يا كاربران را قادر سازد تا اين برچسب‌ها را روي داده‌ها و فراداده‌هایی كه ايجاد يا تغيير مي‌دهند اعمال كنند. اين برچسب‌ها بايد بتوانند توسط راهكار‌هاي كنترل دسترسي شناخته شده و استفاده گردند.
ملاحظه: برچسب گذاری داده‌ها بر اساس نیاز برای فیلد و رکورد امکان پذیر باشد."			
	9	 داده‌هاي توليد شده توسط برنامه‌‌ي كاربردي  كه به سيستم‌هاي ديگر انتقال مي‌يابند و يا توسط چاپگر چاپ مي‌شوند بايد برچسب طبقه‌بندي اطلاعات داشته باشند. 			
	10	"اگر کاربري يک آدرس URL نامعتبر را درخواست نمايد، برنامه کاربردي نبايد فهرست دايرکتوري را به کاربر نشان دهد."			
	11	"برنامه‌ي كاربردي نبايد به كاربران اجازه دهد با تايپ مستقيم يك URL در خط آدرس مرورگر به صفحاتي كه اجازه‌ي دسترسي ندارند، دسترسي پيدا كنند"			
	12	برای امنیت پایگاه داده از رویه‌های ذخیره شده استفاده نموده و كنترل حقوق دسترسي را براي هر رويه‌ي ذخيره شده اعمال نمایید به عنوان مثال ارتباط با پایگاه داده را از طریق رویه انجام دهید.			
