"طراحی، معماری و کدنویسی"	ردیف	شرح ویژگی	درصد اجرا	مرتبه اجرا	توضیحات 
	1	برای استخراج تهدیدات متصور هر برنامه کاربردی ابتدا باید تهدیدات مدل سازی شده و سپس ماتریس تهدیدات ارائه گردد تا بتوان نیازمندی‌های امنیتی آن برنامه کاربردی را متناسب با تهدیدات و سطح طبقه بندی احصاء نمود.			
	2	با توجه به تهدیدات استخراج شده در بند 1 سازوکارهای امنیتی متناسب باید طراحی و معماری شود.			
	3	"متناسب با زبان برنامه سازی قواعد  کد نویسی امن باید رعایت گردد.
برنامه‌ي كاربردي بايد با استفاده از راه کارهای مناسب از آسیب-پذیری‌های رایج نظير XSS، CSRF، Injection،  Overflow جلوگيري كند."			
	4	براي انتقال داده‌ها حتي اگر از پروتكل SSL هم استفاده شده باشد بايد به جاي متد GET از متد POST استفاده شود.			
	5	برنامه‌ي كاربردي نبايد هيچگونه داده‌ را در اسکريپت ها ذخيره كند.			
	6	داده‌هاي دارای طبقه بندی و حساس نظير كلمات عبور و كليدهاي رمزنگاري نبايد در كد برنامه ذخيره گردد.			
	7	كد اجرائي برنامه‌ي كاربردي از فايل‌هايي كه ايجاد و استفاده مي‌كند بايد مجزا باشد.			
	8	"برنامه‌ي كاربردي نبايد داده‌هاي حساس نظير كلمات عبور را در نوع‌هاي تغيير ناپذير نظير ثابت‌های زبان Java یا نوع‌هایي كه توسط سرويس‌هاي جمع آوري زباله (Garbage Collected Service) از حافظه پاك مي‌شوند، قرار دهد."			
	9	برنامه‌ي كاربردي نبايد از سرويس‌ها و فناوري‌هايي با مخاطرات امنيتي بالا نظير Telnet استفاده كند.			
	10	برنامه‌ي كاربردي نبايد شامل توابع و يا متدهاي استفاده نشده اي باشند كه بطور صريح در برنامه‌ي كاربردي فراخواني نشده باشند.			
	11	"برنامه نباید از مولفه ها و قابلیت های وابسته به سایر بسترهای آماده استفاده نماید و تمامی مولفه ها و قابلیت ها باید طراحی و پیاده سازی شوند .
برنامه نباید شامل توابع كتابخانه‌اي غير ضروري باشد."			
	12	"برنامه‌ي كاربردي بايد شامل  متدهاي ساده‌كه يك وظيفه‌ي مشخص را انجام مي‌دهند باشد و نه يك مولفه كه چندين كار پيچيده را انجام مي‌دهد و شامل مولفه‌هاي مستقل باشد تا در صورت وجود آسيب‌پذيري در اين مولفه‌ها،  تغيير مولفه‌ي مزبور تاثيري در كاركرد ساير مولفه‌ها نداشته باشد"			
	13	"در صورتي كه برنامه‌ي كاربردي از مؤلفه‌ها و سرويس‌هاي جانبي ساير برنامه‌هاي كاربردي و يا متن باز استفاده مي‌كند، بايد تمامي آن‌ها ارزيابي امنيتي شده باشند. "			
	14	"برنامه‌ي كاربردي نبايد بر اساس هيچ پيش فرضي در مورد امنيت ساير اجزاء، طراحي شود. به عبارت ديگر ملاحظات امنيتي بايد به صورت مستقل پياده سازي گردد."			
	15	"برای محافظت از کد برنامه در مقابله با مهندسی معکوس مبهم سازی کد انجام شود.
برای سامانه‌های مهم درصورت امكان رمزنگاری انجام شود."			
	16	معماری‌های سامانه باید به صورت چند لایه (حداقل سه لایه) تولید گردد به نحوی که نرم‏افزار بانک اطلاعاتی و نرم‏افزار کاربردی روی سرورهای جداگانه‌ای در نظر گرفته شود. 			
