امنیت پایگاه  داده	ردیف	شرح ویژگی	درصد اجرا	مرتبه اجرا	توضیحات 
	1	"براي اعمال اين كنترل‌، مي‌بايست روش اعمال يا علت عدم اعمال كنترل‌هاي امنيتي كه در اين مستند از آن‌ها نام برده شده است براي هر پايگاه داده به‌طور مجزا، در مستندي با عنوان طرح امنيتي پايگاه داده گردآوري شوند. اين مستند مي‌بايست مطالب زير را پشتيباني نمايد:
ارزيابي ريسك اطلاعات و تعيين طfقه‌بندي اطلاعاتي كه در پايگاه داده موجود مي‌باشند
برنامه‌ها، روش‌هاي اجرايي و دلايل احتمالي عدم اعمال كنترل‌هاي امنيتي موجود در الگوي امنيتي پايگاه داده
تعيين امتيازهاي دسترسي هر يك از مسؤلان پايگاه داده و ثبت تغييرات احتمالي آن‌ها"			
	2	"برنامه‌به‌روزرساني نسخه‌DBMS ، به نسخه‌هاي داراي اعتبار و قابل پشتيباني از طرف فروشنده محصول."			
	3	طرح به‌روزرساني نسخه‌هاي منقضي شده. پيش‌بيني هزينه براي هرگونه برنامه‌هاي تست و طرح‌هاي اضافي و زمان‌بندي انجام ارتقاء نسخه محصول بايد در طرح لحاظ شود.			
	4	"به‌روزرساني‌هاي امنيتي نرم‌افزار پايگاه داده، بر مبناي دستورالعمل فروشنده محصول براي نصب وصله‌ها."			
	5	"معمولاً ليستي از كليه اشياء پايگاه داده به همراه مالكيت هر كدام در جدولي در پايگاه داده موجود است، حساب‌هاي كاربري مربوط به مالك اشياء بايد يا در اختيار مدير پايگاه داده باشد و يا اين حساب‌هاي كاربري پيش‌فرض در DBMS غير فعال گردد."			
	6	امتيازهاي دسترسي سيستم ميزبان كه براي حساب‌هاي كاربري مدير پايگاه داده در نظر گرفته شده است و براي مديريت DBMS نياز نمي‌باشد بايد حذف گردد.			
	7	تهيه مستندات مديريتي و امنيتي فروشنده محصول DBMS و همچنين چك ليست‌هاي امنيتي براي محصولات DBMS و بررسي پايگاه داده براي چك كردن وجود توصيه‌‌هاي امنيتي عنوان شده.			
	8	حساب‌هاي كاربري مجاز براي مالكيت اشياء بايد در طرح امنيتي پايكاه داده‌ثبت شود. 			
	9	"دسترسي به كتابخانه‌هاي نرم‌افزار DBMS‌بايد فقط به معدود حساب‌هاي كاربري كه نياز به اين دسترسي دارند، داده شود. كنترل دسترسي مجاز بايد مستند شده و كليه دسترسي‌هايي كه مشمول حساب‌هاي كاربري مدير پايگاه داده، پردازش DBMS و يا SA نمي‌شود، تاييد شود."			
	10	مدير پايگاه داده مسوول تعيين روش‌هاي اجرايي براي پويش تغييرات برروي نرم‌افزار پايگاه داده است. كليه فايل ها و دايركتوري‌هاي پايگاه داده در سيستم ميزبان بايد مشخص گردد. روش‌هاي اجرايي مربوطه بايد همراه با گزارش پويش‌هاي انجام گرفته مكتوب و مستند شود.( تيم مميزي بايد اين  مستندات را مورد ارزيابي قرار دهد.)			
	11	"اعمال مديريت پيكربندي كليه گزينه‌ها و خصوصيات DBMS، مديريت وصله‌ها و به‌روزرساني و تعيين مسئوليت آن."			
	12	نصب برنامه‌هاي كاربردي برروي پارتيشن‌ها و دايركتوري‌هايي مجزا از پارتيشن و دايركتوري نصب DBMS انجام گيرد. برنامه‌هاي كاربردي كه مشتركاً از دايركتوري و پارتيشن DBMS استفاده مي‌كنند از حالت نصب خارج شده و تغيير محل داده‌شوند.			
